timestamp,lane_1_density,lane_2_density,lane_3_density,lane_4_density,total_vehicles
2025-09-09 03:15:33.205520,0,0,0,0,0
2025-09-09 03:22:46.184475,0,0,1,0,1
2025-10-16 01:34:10.543325,1,0,1,1,3
2025-10-16 02:55:30.604154,1,0,1,1,3
2025-10-16 02:56:33.464444,1,0,1,1,3
2025-10-16 03:03:10.034044,0,0,0,0,0
2025-10-16 03:03:38.105943,0,0,0,0,0
2025-10-16 03:03:49.100828,0,0,0,0,0
2025-10-16 03:03:49.769039,0,0,0,0,0
2025-10-16 03:03:52.157538,0,0,0,0,0
2025-10-16 03:03:53.657704,0,0,0,0,0
2025-10-16 03:03:54.000509,0,0,0,0,0
2025-10-16 03:03:54.695139,0,0,0,0,0
2025-10-16 03:03:57.235196,0,0,0,0,0
2025-10-16 03:03:58.083796,0,0,0,0,0
2025-10-16 03:04:02.235945,0,0,0,0,0
2025-10-16 03:06:46.306648,0,1,0,0,1
2025-10-16 03:08:31.079976,2,3,1,0,6
2025-10-16 03:08:42.480076,0,3,2,1,6
2025-10-16 03:08:45.105304,5,1,0,0,6
2025-10-16 03:26:03.566767,0,1,0,0,1
2025-10-16 03:26:15.892986,0,1,0,0,1
2025-10-16 03:27:01.164827,0,6,1,0,7
2025-10-16 03:27:14.880168,3,4,0,0,7
2025-10-16 03:27:18.171782,0,3,4,0,7
2025-10-16 03:28:14.628563,0,3,4,0,7
2025-10-16 03:30:50.625799,0,0,3,0,3
2025-10-16 03:31:09.354112,0,1,6,0,7
2025-10-16 03:34:39.359575,1,0,0,0,1
2025-10-16 03:35:03.620707,1,3,0,2,14
2025-10-16 03:35:54.486174,1,3,0,2,14
2025-10-16 04:04:41.848615,1,3,0,2,14
2025-10-16 04:08:04.888965,0,3,1,0,4
